"ID","date","SID","comic_name","source","filemask","type","destination","path","filename"
2141,"0000-00-00 00:00:00",6,"Betty","UFS_Sunday_Comics/Betty_Sunday/","bt%symd%hsc.tif","Sunday Color","/%dS%/","","bt%sW%hsc.tif"
2142,"0000-00-00 00:00:00",6,"Betty","UFS_Sunday_Comics/Betty_Sunday/","bt%symd%hsl.tif","Sunday Color","/%dS%/","","bt%sW%hsl.tif"
2143,"0000-00-00 00:00:00",6,"Betty","UFS_Sunday_Comics/Betty_Sunday/","bt%symd%qsc.tif","Sunday Color","/%dS%/","","bt%sW%qsc.tif"
2144,"0000-00-00 00:00:00",6,"Betty","UFS_Sunday_Comics/Betty_Sunday/","bt%symd%qsl.tif","Sunday Color","/%dS%/","","bt%sW%qsl.tif"
2145,"0000-00-00 00:00:00",6,"Betty","UFS_Sunday_Comics/Betty_Sunday/","bt%symd%tsc.tif","Sunday Color","/%dS%/","","bt%sW%tsc.tif"
2146,"0000-00-00 00:00:00",6,"Betty","UFS_Sunday_Comics/Betty_Sunday/","bt%symd%tsl.tif","Sunday Color","/%dS%/","","bt%sW%tsl.tif"
1452,"2011-09-26 16:34:21",6,"Betty Daily","UFS_Daily_Comics/Betty_Dailies/","bt%symd%.tif","Daily B&W","/%dmd%/","","betty.tif"
2147,"0000-00-00 00:00:00",6,"Big Nate","UFS_Sunday_Comics/Big_Nate_Sunday/","bn%symd%comb_hs.tif","Sunday Color","/%dS%/","","bn%sW%comb_hs.tif"
2148,"0000-00-00 00:00:00",6,"Big Nate","UFS_Sunday_Comics/Big_Nate_Sunday/","bn%symd%comb_qs.tif","Sunday Color","/%dS%/","","bn%sW%comb_qs.tif"
2149,"0000-00-00 00:00:00",6,"Big Nate","UFS_Sunday_Comics/Big_Nate_Sunday/","bn%symd%comb_ts.tif","Sunday Color","/%dS%/","","bn%sW%comb_ts.tif"
2150,"0000-00-00 00:00:00",6,"Big Nate","UFS_Sunday_Comics/Big_Nate_Sunday/","bn%symd%hsc.tif","Sunday Color","/%dS%/","","bn%sW%hsc.tif"
2151,"0000-00-00 00:00:00",6,"Big Nate","UFS_Sunday_Comics/Big_Nate_Sunday/","bn%symd%hsl.tif","Sunday Color","/%dS%/","","bn%sW%hsl.tif"
2152,"0000-00-00 00:00:00",6,"Big Nate","UFS_Sunday_Comics/Big_Nate_Sunday/","bn%symd%qsc.tif","Sunday Color","/%dS%/","","bn%sW%qsc.tif"
2153,"0000-00-00 00:00:00",6,"Big Nate","UFS_Sunday_Comics/Big_Nate_Sunday/","bn%symd%qsl.tif","Sunday Color","/%dS%/","","bn%sW%qsl.tif"
2154,"0000-00-00 00:00:00",6,"Big Nate","UFS_Sunday_Comics/Big_Nate_Sunday/","bn%symd%tsc.tif","Sunday Color","/%dS%/","","bn%sW%tsc.tif"
2155,"0000-00-00 00:00:00",6,"Big Nate","UFS_Sunday_Comics/Big_Nate_Sunday/","bn%symd%tsl.tif","Sunday Color","/%dS%/","","bn%sW%tsl.tif"
1443,"2011-09-26 15:55:00",6,"Big Nate Daily","NEA_Full_Service/Comics/Big_Nate_Dailies/","bn%symd%.tif","Daily B&W","/%dmd%/","","bignate.tif"
1857,"0000-00-00 00:00:00",6,"Bleachers","Sunday_Comics/Bleachers_Sunday/","bl%symd%comb_qs.tif","Sunday Color","/%dS%/","","blc%sW%comb_qs.tif"
1858,"0000-00-00 00:00:00",6,"Bleachers","Sunday_Comics/Bleachers_Sunday/","bl%symd%comb_ts.tif","Sunday Color","/%dS%/","","blc%sW%comb_ts.tif"
1859,"0000-00-00 00:00:00",6,"Bleachers","Sunday_Comics/Bleachers_Sunday/","bl%symd%qsc.tif","Sunday Color","/%dS%/","","blc%sW%qsc.tif"
1860,"0000-00-00 00:00:00",6,"Bleachers","Sunday_Comics/Bleachers_Sunday/","bl%symd%qsl.tif","Sunday Color","/%dS%/","","blc%sW%qsl.tif"
1861,"0000-00-00 00:00:00",6,"Bleachers","Sunday_Comics/Bleachers_Sunday/","bl%symd%tsc.tif","Sunday Color","/%dS%/","","blc%sW%tsc.tif"
1862,"0000-00-00 00:00:00",6,"Bleachers","Sunday_Comics/Bleachers_Sunday/","bl%symd%tsl.tif","Sunday Color","/%dS%/","","blc%sW%tsl.tif"
2156,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%comb_ft.tif","Sunday Color","/%dS%/","","bnl%sW%comb_ft.tif"
2157,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%comb_hs.tif","Sunday Color","/%dS%/","","bnl%sW%comb_hs.tif"
2158,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%comb_lv.tif","Sunday Color","/%dS%/","","bnl%sW%comb_lv.tif"
2159,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%comb_mv.tif","Sunday Color","/%dS%/","","bl%sW%comb_mv.tif"
2160,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%comb_qs.tif","Sunday Color","/%dS%/","","bl%sW%comb_qs.tif"
2161,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%comb_sq.tif","Sunday Color","/%dS%/","","bl%sW%comb_sq.tif"
2162,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%comb_sv.tif","Sunday Color","/%dS%/","","bl%sW%comb_sv.tif"
2163,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%comb_ts.tif","Sunday Color","/%dS%/","","bl%sW%comb_ts.tif"
2164,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%ftc.tif","Sunday Color","/%dS%/","","bl%sW%ftc.tif"
2165,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%ftl.tif","Sunday Color","/%dS%/","","bl%sW%ftl.tif"
2166,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%hsc.tif","Sunday Color","/%dS%/","","bl%sW%hsc.tif"
2167,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%hsl.tif","Sunday Color","/%dS%/","","bl%sW%hsl.tif"
2168,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%lvc.tif","Sunday Color","/%dS%/","","bl%sW%lvc.tif"
2169,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%lvl.tif","Sunday Color","/%dS%/","","bl%sW%lvl.tif"
2170,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%mvc.tif","Sunday Color","/%dS%/","","bl%sW%mvc.tif"
2171,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%mvl.tif","Sunday Color","/%dS%/","","bl%sW%mvl.tif"
2172,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%qsc.tif","Sunday Color","/%dS%/","","bl%sW%qsc.tif"
2173,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%qsl.tif","Sunday Color","/%dS%/","","bl%sW%qsl.tif"
2174,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%sqc.tif","Sunday Color","/%dS%/","","bl%sW%sqc.tif"
2175,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%sql.tif","Sunday Color","/%dS%/","","bl%sW%sql.tif"
2176,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%svc.tif","Sunday Color","/%dS%/","","bl%sW%svc.tif"
2177,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%svl.tif","Sunday Color","/%dS%/","","bl%sW%svl.tif"
2178,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%tsc.tif","Sunday Color","/%dS%/","","bl%sW%tsc.tif"
2179,"0000-00-00 00:00:00",6,"Born Loser","UFS_Sunday_Comics/Born_Loser_Sunday/","bnl%symd%tsl.tif","Sunday Color","/%dS%/","","bl%sW%tsl.tif"
1444,"2011-09-26 15:56:27",6,"Born Loser Daily","NEA_Full_Service/Comics/Born_Loser_Dailies/","bnl%symd%.tif","Daily B&W","/%dmd%/","","bornl.tif"
1833,"2018-03-01 15:20:04",6,"Breaking Cat News","Comic_Strips/Breaking_Cat_News/","bcn%symd%.tif","Daily B&W","/%dmd%/","","breakingcat.tif"
1863,"0000-00-00 00:00:00",6,"Breaking Cat News","Sunday_Comics/Breaking_Cat_News_Sundays/","bcn%symd%comb_qs.tif","Sunday Color","/%dS%/","","bcn%sW%comb_qs.tif"
